[18-Aug-2016 14:35:17 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:36:01 UTC] PHP Notice:  Use of undefined constant Register__Now__Autoloader - assumed 'Register__Now__Autoloader' in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 230
[18-Aug-2016 14:36:01 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:36:25 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:37:19 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 338
[18-Aug-2016 14:37:39 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 338
[18-Aug-2016 14:38:01 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 338
[18-Aug-2016 14:39:11 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 338
[18-Aug-2016 14:41:07 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:42:14 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:43:59 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:46:03 UTC] PHP Fatal error:  Class 'Register__Now__Autoloader' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 232
[18-Aug-2016 14:46:35 UTC] PHP Fatal error:  Cannot redeclare class Tribe__Autoloader in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/common/src/register_now/autoloader.php on line 45
[18-Aug-2016 14:47:44 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:50:21 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:51:10 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:51:12 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:51:28 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:51:48 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:51:51 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:52:25 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:52:26 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 339
[18-Aug-2016 14:54:42 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:56:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:00:28 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:22:00 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:22:00 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:25:09 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:25:09 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:27:12 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:27:12 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:28:57 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:28:57 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:12 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:12 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:24 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:24 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:29 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:29 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:31 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:31 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:32 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:32 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:33 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:33 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
